0 34286.5
0 30493.3
1 27179.6
2 23930.9
3 21278.8
4 18686.5
5 16990
6 15782.4
7 14518.9
8 13305.7
9 12442.5
10 11688.4
11 11242.7
12 10880.1
13 10559.5
14 10259.1
15 9966.54
16 9694.35
17 9440.68
18 9196
19 8947.91
20 8726.74
21 8568.35
22 8406.2
23 8312.15
24 8187.11
25 8092.5
26 8011.83
27 7929.56
28 7820.72
29 7721
30 7630.21
31 7529.72
32 7439.76
33 7331.73
34 7225.41
35 7076.29
36 6946.21
37 6845.98
38 6755.22
39 6666.75
40 6603.1
41 6549.6
42 6497.55
43 6459.76
44 6434.34
45 6427.82
46 6444.82
47 6414.72
48 6405.43
49 6363.7
50 6329.4
51 6295.82
52 6250.62
53 6196.63
54 6160.8
55 6139.34
56 6108.7
57 6055.77
58 5955.2
59 5859.34
60 5782.72
61 5737.96
62 5687.53
63 5641.69
64 5599.78
65 5553.66
66 5519.97
67 5459.45
68 5370.87
69 5296.67
70 5223.56
71 5179.09
72 5167.25
73 5155.57
74 5123.45
75 5100.54
76 5062.22
77 5029.28
78 5008.83
79 4987.44
80 4965.48
81 4954.69
82 4950.8
83 4948.19
84 4946.87
85 4945.68
86 4936.86
87 4915.66
88 4902.71
89 4888.36
90 4879.46
91 4876.48
92 4879.2
93 4875.86
94 4874.95
95 4871.21
96 4870.18
97 4862.79
98 4858.7
99 4855.74
