           1   0.0492087   0.0492087           0
           2    0.048576   0.0488923 0.000223698
           3   0.0500315   0.0492721 0.000344043
           4   0.0498886   0.0494262 0.000290519
           5    0.050724   0.0496858 0.000328506
           6   0.0502893   0.0497864 0.000288745
           7   0.0498398    0.049794 0.000247597
           8   0.0508474   0.0499257 0.000249213
           9   0.0471218   0.0496141 0.000367895
          10    0.048641   0.0495168 0.000343734
          11   0.0481301   0.0493908 0.000334805
          12   0.0473277   0.0492188 0.000348258
          13   0.0483821   0.0491545 0.000327363
          14   0.0476981   0.0490504 0.000320081
          15   0.0480997   0.0489871 0.000304953
          16   0.0477747   0.0489113 0.000295156
          17    0.049861   0.0489672 0.000283032
          18   0.0499107   0.0490196 0.000272119
          19   0.0465104   0.0488875 0.000288066
          20   0.0510023   0.0489933 0.000292427
